"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-13","10.51",,"0.00","0.0","0.0",,"74","50","  320","  320","25.9","32.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-14","12.53",,"0.00","0.0","0.0",,"68","48","  320","  310","30.0","35.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-15","11.86",,"0.00","0.0","0.0",,"71","49","  320","  310","29.1","33.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-16","6.71",,"0.00","0.0","0.0",,"83","46","  320","  330","21.9","25.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-17","3.36",,"0.00","0.0","0.0",,"88","46","  320","  280","15.0","19.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-18","4.47",,"0.00","0.0","0.0",,"88","46","  310","  310","15.0","18.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-19","2.68",,"0.00","0.0","0.0",,"85","48","  310","  320","15.0","19.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-20","5.37",,"0.00","0.0","0.0",,"82","44","  310","  330","17.0","21.9","    1","    1",,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-21","5.82",,"0.00","0.0","0.0",,"76","46","  310","  320","21.0","25.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-22","6.49",,"0.00","0.0","0.0",,"70","50","  290","  290","23.9","29.1","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-23","14.54",,"0.00","0.0","0.0",,"72","48","  310","  320","29.1","36.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-24","15.66",,"0.00","0.0","0.0",,"72","49","  310","  300","35.1","42.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-25","12.08",,"0.00","0.0","0.0",,"65","41","  290","  300","30.0","40.9",,,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-26","10.96",,"0.00","0.0","0.0",,"71","43","  320","  320","30.0","35.1","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-27","12.08",,"0.00","0.0","0.0",,"70","47","  310","  310","33.1","42.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-28","9.17",,"0.00","0.0","0.0",,"67","45","  300","  300","25.1","31.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-29","7.61",,"0.00","0.0","0.0",,"69","50","  310","  310","21.9","27.1","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-04-30","7.38",,"0.00","0.0","0.0",,"74","47","  320","  330","21.9","25.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-01","4.92",,"0.00","0.0","0.0",,"77","48","  310","  240","16.1","19.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-02","6.71",,"0.00","0.0","0.0",,"72","54","  310","  310","18.1","21.9","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-03","5.37",,"0.00","0.0","0.0",,"77","54","  310","  300","19.9","23.0","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-04","5.59",,"0.00","0.0","0.0",,"67","55","  230","  220","15.0","17.0","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-05","4.92",,"0.00","0.0","0.0",,"68","56","  210","  200","15.0","19.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-06","7.16",,"0.01","0.0","0.0",,"71","53","  310","  310","23.9","29.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-07","4.70",,"0.00","0.0","0.0",,"71","52","  210",,"15.0",,,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-08","8.05",,"0.00","0.0","0.0",,"73","49","  310","  310","21.9","25.9",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-09","9.17",,"0.00","0.0","0.0",,"72","56","  310","  310","21.0","27.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-10","5.82",,"0.00","0.0","0.0",,"69","56","  310","  310","14.1","21.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-11","7.16",,"0.00","0.0","0.0",,"71","56","  310","  310","16.1","25.9","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-12","9.40",,"0.00","0.0","0.0",,"72","56","  300","  310","21.0","25.1","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-13","8.72",,"0.00","0.0","0.0",,"70","55","  320","  320","21.9","25.1","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-14","11.86",,"0.00","0.0","0.0",,"72","50","  310","  310","28.0","36.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-15","10.74",,"0.00","0.0","0.0",,"72","54","  310","  310","29.1","34.0","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-16","9.62",,"0.00","0.0","0.0",,"72","51","  310","  320","23.9","30.0","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-05-17","3.80",,"0.00","0.0","0.0",,"74","55","  120","  140","10.1","16.1","    1",,,"    1"
